CASENUM,VEH_NO,PSU,PSU_VAR,PSUSTRAT,REGION,REGIONNAME,URBANICITY,URBANICITYNAME,STRATUM,STRATUMNAME,PJ,WEIGHT,VE_FORMS,MONTH,MONTHNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,NUMOCCS,NUMOCCSNAME,UNITTYPE,UNITTYPENAME,HIT_RUN,HIT_RUNNAME,VIN,VINNAME,MOD_YEAR,MOD_YEARNAME,MDLYR_IM,MDLYR_IMNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,MAKE,MAKENAME,MODEL,BODY_TYP,BODY_TYPNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,GVWR_TO,GVWR_TONAME,TOW_VEH,TOW_VEHNAME,TRLR1VIN,TRLR1VINNAME,TRLR2VIN,TRLR2VINNAME,TRLR3VIN,TRLR3VINNAME,TRLR1GVWR,TRLR1GVWRNAME,TRLR2GVWR,TRLR2GVWRNAME,TRLR3GVWR,TRLR3GVWRNAME,J_KNIFE,J_KNIFENAME,MCARR_ID,MCARR_IDNAME,MCARR_I1,MCARR_I1NAME,MCARR_I2,MCARR_I2NAME,V_CONFIG,V_CONFIGNAME,CARGO_BT,CARGO_BTNAME,HAZ_INV,HAZ_INVNAME,HAZ_PLAC,HAZ_PLACNAME,HAZ_ID,HAZ_IDNAME,HAZ_CNO,HAZ_CNONAME,HAZ_REL,HAZ_RELNAME,BUS_USE,BUS_USENAME,SPEC_USE,SPEC_USENAME,EMER_USE,EMER_USENAME,TRAV_SP,TRAV_SPNAME,UNDEROVERRIDE,UNDEROVERRIDENAME,ROLLOVER,ROLLOVERNAME,ROLINLOC,ROLINLOCNAME,IMPACT1,IMPACT1NAME,IMPACT1_IM,IMPACT1_IMNAME,DEFORMED,DEFORMEDNAME,TOWED,TOWEDNAME,M_HARM,M_HARMNAME,VEVENT_IM,VEVENT_IMNAME,FIRE_EXP,FIRE_EXPNAME,MAX_VSEV,MAX_VSEVNAME,MXVSEV_IM,MXVSEV_IMNAME,NUM_INJV,NUM_INJVNAME,NUMINJ_IM,NUMINJ_IMNAME,VEH_ALCH,VEH_ALCHNAME,V_ALCH_IM,V_ALCH_IMNAME,MAK_MOD,MAK_MODNAME,DR_PRES,DR_PRESNAME,DR_ZIP,DR_ZIPNAME,SPEEDREL,SPEEDRELNAME,VTRAFWAY,VTRAFWAYNAME,VNUM_LAN,VNUM_LANNAME,VSPD_LIM,VSPD_LIMNAME,VALIGN,VALIGNNAME,VPROFILE,VPROFILENAME,VSURCOND,VSURCONDNAME,VTRAFCON,VTRAFCONNAME,VTCONT_F,VTCONT_FNAME,P_CRASH1,P_CRASH1NAME,PCRASH1_IM,PCRASH1_IMNAME,P_CRASH2,P_CRASH2NAME,P_CRASH3,P_CRASH3NAME,PCRASH4,PCRASH4NAME,PCRASH5,PCRASH5NAME,ACC_TYPE,ACC_TYPENAME
202102916823,1,51,51,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,1079,236.46156452,1,1,January,5,5:00am-5:59am,51,51,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,1N4AA5AP8AC8,1N4AA5AP8AC8,2010,2010,2010,2010,478,Nissan,2302,Maxima,13,Sedan/Saloon,35,Nissan/Datsun,39,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,60,060 MPH,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,12,12 Clock Point,4,Functional Damage,3,Towed But Not Due to Disabling Damage,25,Concrete Traffic Barrier,25,Concrete Traffic Barrier,0,No or Not Reported,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured in Vehicle,0,No Person Injured in Vehicle,2,No Alcohol Involved,2,No Alcohol Involved,35039,Nissan/Datsun 810/Maxima,1,Yes,70116,70116,0,No,3,"Two-Way,  Divided, Positive  Median Barrier",5,Five lanes,60,60 MPH,1,Straight,1,Level,1,Dry,0,No Controls,0,No Controls,1,Going Straight,1,Going Straight,13,Off the edge of the road on the right side,6,Steering left,1,Tracking,4,Departed roadway,3,"A3-Single Driver-Right Roadside Departure-Avoid Collision With Veh., Ped., Anim."
202102918622,1,20,20,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,10,Stratum 10 - Other,4140,227.4688732,1,1,January,18,6:00pm-6:59pm,27,27,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,1J4GL58K16W1,1J4GL58K16W1,2006,2006,2006,2006,483,Jeep,1944,Liberty,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2,Jeep / Kaiser-Jeep / Willys- Jeep,405,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,5,005 MPH,0,No Underride or Override,0,No Rollover,0,No Rollover,6,6 Clock Point,6,6 Clock Point,2,Minor Damage,5,Not Towed,14,Parked Motor Vehicle,14,Parked Motor Vehicle,0,No or Not Reported,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured in Vehicle,0,No Person Injured in Vehicle,2,No Alcohol Involved,2,No Alcohol Involved,2405,Jeep / Kaiser-Jeep / Willys- Jeep Liberty,1,Yes,84321,84321,0,No,1,"Two-Way, Not Divided",2,Two lanes,98,Not Reported,1,Straight,1,Level,1,Dry,0,No Controls,0,No Controls,13,Backing Up (other than for Parking Position),13,Backing Up (other than for Parking Position),20,Backing,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,92,M92-Backing-Backing Veh.
202102918654,1,75,75,19,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,10,Stratum 10 - Other,4144,224.65381639,1,1,January,7,7:00am-7:59am,50,50,53,Mail Box,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,3N1AB61E28L6,3N1AB61E28L6,2008,2008,2008,2008,478,Nissan,1907,Sentra,13,Sedan/Saloon,35,Nissan/Datsun,43,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,998,Not Reported,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,53,Mail Box,53,Mail Box,0,No or Not Reported,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured in Vehicle,0,No Person Injured in Vehicle,2,No Alcohol Involved,2,No Alcohol Involved,35043,Nissan/Datsun Sentra,1,Yes,25401,25401,0,No,1,"Two-Way, Not Divided",2,Two lanes,50,50 MPH,1,Straight,6,Downhill,4,Ice/Frost,97,Not Reported,8,Not Reported,99,Unknown,1,Going Straight,6,Traveling too fast for conditions or Road Configuration,99,Unknown/Not Reported,5,"Skidding Laterally, Rotation Direction Unknown",4,Departed roadway,7,B7-Single Driver-Left Roadside Departure-Control/Traction Loss
202102918674,1,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4147,182.81096396,3,1,January,16,4:00pm-4:59pm,32,32,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,99,Unknown,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),1,Yes,JT3GN86R0X01,JT3GN86R0X01,1999,1999,1999,1999,448,Toyota,2216,4-Runner,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),49,Toyota,401,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,998,Not Reported,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,30,Utility Pole/Light Support,30,Utility Pole/Light Support,0,No or Not Reported,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured in Vehicle,0,No Person Injured in Vehicle,9,Reported as Unknown,2,No Alcohol Involved,49401,Toyota 4-Runner,1,Yes,99998,Not Reported,0,No,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",5,Five lanes,35,35 MPH,1,Straight,1,Level,2,Wet,0,No Controls,0,No Controls,1,Going Straight,1,Going Straight,13,Off the edge of the road on the right side,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,1,A1-Single Driver-Right Roadside Departure-Drive Off Road
202102918674,2,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4147,182.81096396,3,1,January,16,4:00pm-4:59pm,32,32,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,KNADM4A30D62,KNADM4A30D62,2013,2013,2013,2013,499,Kia,2299,Rio,13,Sedan/Saloon,63,KIA,32,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,998,Not Reported,0,No Underride or Override,0,No Rollover,0,No Rollover,3,3 Clock Point,3,3 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,12,Motor Vehicle In-Transport,0,No or Not Reported,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured in Vehicle,0,No Person Injured in Vehicle,2,No Alcohol Involved,2,No Alcohol Involved,63032,KIA Rio/Rio5,1,Yes,99998,Not Reported,0,No,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",5,Five lanes,35,35 MPH,1,Straight,1,Level,2,Wet,0,No Controls,0,No Controls,1,Going Straight,1,Going Straight,10,Over the lane line on left side of travel lane,6,Steering left,1,Tracking,2,"Stayed on roadway, but left original travel lane",98,M98-Other Crash Type
202102918674,3,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4147,182.81096396,3,1,January,16,4:00pm-4:59pm,32,32,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,JN1BJ1CP5KW5,JN1BJ1CP5KW5,2019,2019,2019,2019,478,Nissan,17214,Rogue Sport,5,Hatchback/Liftback/Notchback,35,Nissan/Datsun,404,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,998,Not Reported,0,No Underride or Override,0,No Rollover,0,No Rollover,12,12 Clock Point,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,12,Motor Vehicle In-Transport,0,No or Not Reported,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured in Vehicle,0,No Person Injured in Vehicle,2,No Alcohol Involved,2,No Alcohol Involved,35404,"Nissan/Datsun Rogue (For 2019 on.  For model years 2008-2018, see 35-051.)",1,Yes,99998,Not Reported,0,No,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",5,Five lanes,35,35 MPH,1,Straight,1,Level,2,Wet,0,No Controls,0,No Controls,1,Going Straight,1,Going Straight,62,From opposite direction  over left lane line,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,98,M98-Other Crash Type
202102918705,1,22,22,5,1,"Northeast (PA, NJ, NY, NH, VT, RI, MA, ME, CT)",2,Rural Area,6,Stratum 6 - LMY PV Minor Injury,4149,58.022879874,1,1,January,9,9:00am-9:59am,25,25,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,1FM5K8AR9HGC,1FM5K8AR9HGC,2017,2017,2017,2017,460,Ford,1800,Explorer,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,Ford,401,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,5,Police,0,Not Applicable,998,Not Reported,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,42,Tree (Standing Only),42,Tree (Standing Only),0,No or Not Reported,2,Suspected Minor Injury (B),2,Suspected Minor Injury (B),1,1,1,1,2,No Alcohol Involved,2,No Alcohol Involved,12401,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",1,Yes,4538,4538,4,"Yes, Too Fast for Conditions",8,Not Reported,8,Not Reported,45,45 MPH,2,Curve - Right,2,"Grade, Unknown Slope",3,Snow,0,No Controls,0,No Controls,14,Negotiating a Curve,14,Negotiating a Curve,12,Off the edge of the road on the left side,99,Unknown/Not Reported,9,Precrash stability unknown,4,Departed roadway,6,B6-Single Driver-Left Roadside Departure-Drive Off Road
202102918708,1,25,25,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4150,179.65204779,1,1,January,5,5:00am-5:59am,43,43,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,1FM5K8AB7LGA,1FM5K8AB7LGA,2020,2020,2020,2020,460,Ford,1800,Explorer,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,Ford,425,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,5,Police,8,Not Reported,1,001 MPH,8,Not Reported,0,No Rollover,0,No Rollover,6,6 Clock Point,6,6 Clock Point,2,Minor Damage,5,Not Towed,14,Parked Motor Vehicle,14,Parked Motor Vehicle,0,No or Not Reported,0,No Apparent Injury (O),0,No Apparent Injury (O),0,No Person Injured in Vehicle,0,No Person Injured in Vehicle,9,Reported as Unknown,2,No Alcohol Involved,12425,Ford Explorer (For 2019 on.  For model years 1990-2018 see 12-401.),1,Yes,99998,Not Reported,0,No,1,"Two-Way, Not Divided",2,Two lanes,25,25 MPH,1,Straight,1,Level,1,Dry,0,No Controls,0,No Controls,13,Backing Up (other than for Parking Position),13,Backing Up (other than for Parking Position),20,Backing,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,92,M92-Backing-Backing Veh.
202102918713,1,25,25,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,5,Stratum 5 - NLMY PV Serious Injury,4150,23.07073179,1,1,January,18,6:00pm-6:59pm,0,0,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,JNKBV61F68M2,JNKBV61F68M2,2008,2008,2008,2008,480,Infiniti,2305,G35,13,Sedan/Saloon,58,Infiniti,37,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,998,Not Reported,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,38,Fence,38,Fence,0,No or Not Reported,3,Suspected Serious Injury (A),3,Suspected Serious Injury (A),1,1,1,1,9,Reported as Unknown,2,No Alcohol Involved,58037,Infiniti G25/G35/G37,1,Yes,44646,44646,0,No,1,"Two-Way, Not Divided",2,Two lanes,25,25 MPH,1,Straight,2,"Grade, Unknown Slope",1,Dry,0,No Controls,0,No Controls,1,Going Straight,1,Going Straight,12,Off the edge of the road on the left side,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,6,B6-Single Driver-Left Roadside Departure-Drive Off Road
202102919535,1,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,4,Stratum 4 - LMY PV Serious Injury,85,15.634051364,1,1,January,1,1:00am-1:59am,30,30,39,Wall,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,5XXGT4L33KG2,5XXGT4L33KG2,2019,2019,2019,2019,499,Kia,2739,Optima,13,Sedan/Saloon,63,KIA,34,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,100,100 MPH,7,Not Applicable,1,"Rollover, Tripped by Object/Vehicle",5,On Roadside,12,12 Clock Point,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,1,Rollover/Overturn,1,Rollover/Overturn,0,No or Not Reported,4,Fatal Injury (K),4,Fatal Injury (K),1,1,1,1,2,No Alcohol Involved,2,No Alcohol Involved,63034,KIA Optima,1,Yes,35614,35614,4,"Yes, Too Fast for Conditions",1,"Two-Way, Not Divided",2,Two lanes,70,70 MPH,1,Straight,1,Level,2,Wet,0,No Controls,0,No Controls,1,Going Straight,1,Going Straight,13,Off the edge of the road on the right side,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,1,A1-Single Driver-Right Roadside Departure-Drive Off Road
